schema_version,plan_freeze_sha256,audit_config_sha256,source_fold_manifest_sha256,source_raw_ftv_semantic_sha256,batch_id,fold,split,batch_index,ordered_members_hmac_sha256,hmac_key_id,n_total,n_ftv_available,n_unavailable,n_ispy2,n_ispy1,pool_n,pool_ftv_available,pool_ftv_proportion,batch_ftv_proportion,applies_to_seed_count,within_batch_replacement,contains_patient_ids,contains_patient_level_rows,private_mapping_hmac_sha256
1,a8c3dc736b9f31d3b0d9f4efeaf5efa1605388b19a0604087e15dc9987287cf1,695791aa55c330377336642cfbfca83e1329f54ff8b632f0c04683839dbe7447,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,41b419f6e098dade710ee8963ccd6245ce3ea9bd32687afbef1223cafde9529b,f0_tr_00,0,train,0,6c78f8c493229dc0a5c586ec5a400e273dbe2a1adfe0b8ebf187dfd4a35bf436,83c6c82b0a93a89c,32,12,20,25,7,681,247,0.36270190895741555,0.375,5,False,False,False,b9360315517307fc33348df976ad230d147e86351c61ad6baba6a6d03e5b114a
1,a8c3dc736b9f31d3b0d9f4efeaf5efa1605388b19a0604087e15dc9987287cf1,695791aa55c330377336642cfbfca83e1329f54ff8b632f0c04683839dbe7447,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,41b419f6e098dade710ee8963ccd6245ce3ea9bd32687afbef1223cafde9529b,f0_tr_01,0,train,1,83614308884b44016ce775f33705e1da5d085091b8cc7df631296b638fb45ea4,83c6c82b0a93a89c,32,12,20,25,7,681,247,0.36270190895741555,0.375,5,False,False,False,b9360315517307fc33348df976ad230d147e86351c61ad6baba6a6d03e5b114a
1,a8c3dc736b9f31d3b0d9f4efeaf5efa1605388b19a0604087e15dc9987287cf1,695791aa55c330377336642cfbfca83e1329f54ff8b632f0c04683839dbe7447,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,41b419f6e098dade710ee8963ccd6245ce3ea9bd32687afbef1223cafde9529b,f0_tr_02,0,train,2,b45963e48745fc5e95f89ad55bd3e6afc908a8e6a82a0069f2dac1d26f993995,83c6c82b0a93a89c,32,12,20,25,7,681,247,0.36270190895741555,0.375,5,False,False,False,b9360315517307fc33348df976ad230d147e86351c61ad6baba6a6d03e5b114a
1,a8c3dc736b9f31d3b0d9f4efeaf5efa1605388b19a0604087e15dc9987287cf1,695791aa55c330377336642cfbfca83e1329f54ff8b632f0c04683839dbe7447,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,41b419f6e098dade710ee8963ccd6245ce3ea9bd32687afbef1223cafde9529b,f0_tr_03,0,train,3,73419592ab683ff5dfe7d7e79032b67cbed61b92713653b0f7e76432fd816f7a,83c6c82b0a93a89c,32,12,20,25,7,681,247,0.36270190895741555,0.375,5,False,False,False,b9360315517307fc33348df976ad230d147e86351c61ad6baba6a6d03e5b114a
1,a8c3dc736b9f31d3b0d9f4efeaf5efa1605388b19a0604087e15dc9987287cf1,695791aa55c330377336642cfbfca83e1329f54ff8b632f0c04683839dbe7447,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,41b419f6e098dade710ee8963ccd6245ce3ea9bd32687afbef1223cafde9529b,f0_tr_04,0,train,4,d1e038bcc2ae02dd2eec51081ef9de5149f9a87fe4919d04fc6fe0f63b286ccd,83c6c82b0a93a89c,32,12,20,25,7,681,247,0.36270190895741555,0.375,5,False,False,False,b9360315517307fc33348df976ad230d147e86351c61ad6baba6a6d03e5b114a
1,a8c3dc736b9f31d3b0d9f4efeaf5efa1605388b19a0604087e15dc9987287cf1,695791aa55c330377336642cfbfca83e1329f54ff8b632f0c04683839dbe7447,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,41b419f6e098dade710ee8963ccd6245ce3ea9bd32687afbef1223cafde9529b,f0_tr_05,0,train,5,c366511eda53c43d12a09d93dd3a3b84865e605b136c20c25aa539a51690e900,83c6c82b0a93a89c,32,12,20,25,7,681,247,0.36270190895741555,0.375,5,False,False,False,b9360315517307fc33348df976ad230d147e86351c61ad6baba6a6d03e5b114a
1,a8c3dc736b9f31d3b0d9f4efeaf5efa1605388b19a0604087e15dc9987287cf1,695791aa55c330377336642cfbfca83e1329f54ff8b632f0c04683839dbe7447,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,41b419f6e098dade710ee8963ccd6245ce3ea9bd32687afbef1223cafde9529b,f0_tr_06,0,train,6,7727ebee31539b434228814b76fb70e5e22e781e52cb26fb6953074caf4beec3,83c6c82b0a93a89c,32,12,20,25,7,681,247,0.36270190895741555,0.375,5,False,False,False,b9360315517307fc33348df976ad230d147e86351c61ad6baba6a6d03e5b114a
1,a8c3dc736b9f31d3b0d9f4efeaf5efa1605388b19a0604087e15dc9987287cf1,695791aa55c330377336642cfbfca83e1329f54ff8b632f0c04683839dbe7447,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,41b419f6e098dade710ee8963ccd6245ce3ea9bd32687afbef1223cafde9529b,f0_tr_07,0,train,7,c5384036f5fc2d0743818189665d4bc8a6c06725b1f0cc7c73024316ab1ff838,83c6c82b0a93a89c,32,12,20,25,7,681,247,0.36270190895741555,0.375,5,False,False,False,b9360315517307fc33348df976ad230d147e86351c61ad6baba6a6d03e5b114a
1,a8c3dc736b9f31d3b0d9f4efeaf5efa1605388b19a0604087e15dc9987287cf1,695791aa55c330377336642cfbfca83e1329f54ff8b632f0c04683839dbe7447,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,41b419f6e098dade710ee8963ccd6245ce3ea9bd32687afbef1223cafde9529b,f0_va_00,0,validation,0,98ad5642639e8d23db5a697e5d0c1080620d9a242dd5a7192c02a66b08e6400c,83c6c82b0a93a89c,32,16,16,32,0,121,59,0.48760330578512395,0.5,5,False,False,False,b9360315517307fc33348df976ad230d147e86351c61ad6baba6a6d03e5b114a
1,a8c3dc736b9f31d3b0d9f4efeaf5efa1605388b19a0604087e15dc9987287cf1,695791aa55c330377336642cfbfca83e1329f54ff8b632f0c04683839dbe7447,143e482d711225c0611006d99bd7345d2fa1a5c16c65fbaf8399341a0d26aa38,41b419f6e098dade710ee8963ccd6245ce3ea9bd32687afbef1223cafde9529b,f0_va_01,0,validation,1,f9490c125c58a1179bf91389e707556c35d21367efcb06f5bb3ba1d1eb8b8d65,83c6c82b0a93a89c,32,16,16,32,0,121,59,0.48760330578512395,0.5,5,False,False,False,b9360315517307fc33348df976ad230d147e86351c61ad6baba6a6d03e5b114a
